BKG_NO,SHIPPER_CODE,POR,POL,CONSIGNEE_CODE,POD,DEL,HS_CODE,CM_DESCRIPTION_ORIGINAL,CM_DESCRIPTION_PROCESSED,CM_DESCRIPTION_VERIFIED,CM_DESCRIPTION_OPTIONAL_USER_INPUT
BKKAD5259900,TH103731,"LAEM CHABANG , THAILAND","LAEM CHABANG , THAILAND",US515902,"TACOMA , WA , UNITED STATES","CHICAGO , IL , UNITED STATES",391220,"SAID TO CONTAIN :
SHIPPER LOAD & COUNT
DRUMS
AS PER ATTACHED SHEET
TOTAL : ONE HUNDRED TWENTY EIGHT FIBRE DRUMS ONLY
""FREIGHT COLLECT"" CY-CY
3RE DRUMS
128 FIBRE DRUMS
UN2556,
NITROCELLULOSE WITH ALCOHOL,
41,
PGI, (B), (12 DEG C),
EMS CODE F-B,S-J
H.S. CODE NO. 3912200000
FOR CHEMICAL EMERGENCIES
INCLUDING LEAKS, SPILLS FIRE OR EXPOSURE
CALL TOLL FREE 1-800-424-9300
""NOBEL NC CO LTD ARE REGISTERED
WITH CHEMTREC""
INDUSTRIAL NITROCELLULOSE
STORE DOOR DELIVERY
N.W. 17,408.00 KGS.
REF INVOICE NO. SO0120100966,
PO NO. 1141
-EXPORTER NAME : NOBEL NC CO., LTD.
|
BKK-00009850
|","DRUMS
TOTAL : ONE HUNDRED TWENTY EIGHT
FIBRE DRUMS ONLY
3RE DRUMS
128 FIBRE DRUMS
UN2556,
NITROCELLULOSE WITH ALCOHOL,
PGI, (B), (12 DEG C),
EMS CODE F-B,S-J
FOR CHEMICAL EMERGENCIES
INCLUDING LEAKS, SPILLS FIRE OR
EXPOSURE
CALL TOLL FREE 1-800-424-9300
NOBEL NC CO LTD ARE REGISTERED
WITH CHEMTREC""
INDUSTRIAL NITROCELLULOSE
STORE DOOR DELIVERY
REF INVOICE NO. SO0120100966,
PO NO. 1141
EXPORTER NAME : NOBEL NC CO.,
LTD.
BKK-00009850",NITROCELLULOSE WITH ALCOHOL,NITROCELLULOSE WITH ALCOHOL
BKKAC2276400,TH113675,"LAEM CHABANG,THAILAND","LAEM CHABANG,THAILAND",RU101039,"ROTTERDAM, NETHERLAMDS","SAINT PETERSBURG, RUSSIA",870899,"1 OF 1 PARTS OF CARGOES IN
1 X 20'DF CONTAINER(S) S.T.C.

OF 16,070 PCS.
TOYOTA COMPONENT PARTS
FOR MODEL : CAMRY

REFERENCE NO. KR20102647
HS CODES : 6807.900.000

FREIGHT PREPAID AT SINGAPORE
B/L ISSUED AT SINGAPORE","1 OF 1 PARTS OF CARGOES IN
TOYOTA COMPONENT PARTS
FOR MODEL : CAMRY
REFERENCE NO. KR20102647
000
AT SINGAPORE","TOYOTA COMPONENT PARTS
FOR MODEL : CAMRY",TOYOTA COMPONENT PARTS FOR MODEL : CAMRY
BKKAE0015900,TH103731,"LAEM CHABANG , THAILAND","LAEM CHABANG , THAILAND",US515902,"TACOMA , WA , UNITED STATES","CHICAGO , IL , UNITED STATES",391220,"SAID TO CONTAIN :
SHIPPER LOAD & COUNT
DRUMS
AS PER ATTACHED SHEET
TOTAL : ONE HUNDRED TWENTY EIGHT FIBRE DRUMS ONLY
""FREIGHT COLLECT"" CY-CY
3RE DRUMS
128 FIBRE DRUMS
UN2556,
NITROCELLULOSE WITH ALCOHOL,
41,
PGI, (B), (12 DEG C),
EMS CODE F-B,S-J
H.S. CODE NO. 3912200000
FOR CHEMICAL EMERGENCIES
INCLUDING LEAKS, SPILLS FIRE OR EXPOSURE
CALL TOLL FREE 1-800-424-9300
""NOBEL NC CO LTD ARE REGISTERED
WITH CHEMTREC""
INDUSTRIAL NITROCELLULOSE
STORE DOOR DELIVERY
N.W. 17,408.00 KGS.
REF INVOICE NO. S00120100992,
PO NO. 1149
-EXPORTER NAME : NOBEL NC CO., LTD.
BKK-00009848","DRUMS
TOTAL : ONE HUNDRED TWENTY EIGHT
FIBRE DRUMS ONLY
3RE DRUMS
128 FIBRE DRUMS
UN2556,
NITROCELLULOSE WITH ALCOHOL,
PGI, (B), (12 DEG C),
EMS CODE F-B,S-J
FOR CHEMICAL EMERGENCIES
INCLUDING LEAKS, SPILLS FIRE OR
EXPOSURE
CALL TOLL FREE 1-800-424-9300
NOBEL NC CO LTD ARE REGISTERED
WITH CHEMTREC""
INDUSTRIAL NITROCELLULOSE
STORE DOOR DELIVERY
REF INVOICE NO. S00120100992,
PO NO. 1149
EXPORTER NAME : NOBEL NC CO.,
LTD.
BKK-00009848",NITROCELLULOSE WITH ALCOHOL,NITROCELLULOSE WITH ALCOHOL
BKKAE0547500,TH106661,LAT KRABANG,"LAEMCHABANG, THAILAND",ID100115,JAKARTA,"JAKARTA, INDONESIA",401699,"MATERIAL FOR AUTOMOTIVE -
WIRING HARNESS (3)
(CONNECTOR,CONNECTOR HOUSING,
CONNECTOR MALE ASS'Y,DUMMY PLUG,
HOUSING FEMALE,RUBBER STOPPER,
HOUSING,HOUSING FEMALE ASS'Y,
HOUSING MALE,TERMINAL)
HS.NO 4016.99.99,8536.90.99,8547.20.00
INVOICE NO. TIPM00113B
246.43
N.W. (Kgs.)
374.22
G.W. (Kgs.)
4.640
MEA. (M3.)
MATERIAL FOR AUTOMOTIVE -
WIRING HARNESS (3)
(CONNECTOR MALE ASS'Y,
HOUSING FEMALE ASS'Y,
HOUSING SUB ASSEMBLY,
HYBRID FEMALE ASS'Y,
RUBBER STOPPER)
HS. NO 4016.99.99,8547.20.00
INVOICE NO. TIPM00114B
245.86
N.W. (Kgs.)
328.82
G.W. (Kgs.)
3.290
MEA. (M3.)
MATERIAL FOR AUTOMOTIVE -
WIRING HARNESS (2)
(PFP-FR D7,PFP-FR D15,HPFP-FR D10)
HS. NO 3917.29.29
INVOICE NO. TVPM00023B
80.59
N.W. (Kgs.)
128.21
G.W. (Kgs.)
1.230
MEA. (M3.)
MATERIAL FOR AUTOMOTIVE -
WIRING HARNESS
HS. NO 3919.10.10
INVOICE NO. TTPM00031B
672.93
N.W. (Kgs.)
715.52
G.W. (Kgs.)
1.630
MEA. (M3.)","MATERIAL FOR AUTOMOTIVE
WIRING HARNESS (3)
(CONNECTOR,CONNECTOR HOUSING,
CONNECTOR MALE ASS'Y,DUMMY PLUG,
HOUSING FEMALE,RUBBER STOPPER,
HOUSING,HOUSING FEMALE ASS'Y,
HOUSING MALE,TERMINAL)
INVOICE NO. TIPM00113B
246.43
N.W. (KGS.)
374.22
G.W. (KGS.)
4.640
MEA. (M3.)
MATERIAL FOR AUTOMOTIVE
WIRING HARNESS (3)
(CONNECTOR MALE ASS'Y,
HOUSING FEMALE ASS'Y,
HOUSING SUB ASSEMBLY,
HYBRID FEMALE ASS'Y,
RUBBER STOPPER)
INVOICE NO. TIPM00114B
245.86
N.W. (KGS.)
328.82
G.W. (KGS.)
3.290
MEA. (M3.)
MATERIAL FOR AUTOMOTIVE
WIRING HARNESS (2)
(PFP-FR D7,PFP-FR D15,HPFP-FR
D10)
INVOICE NO. TVPM00023B
80.59
N.W. (KGS.)
128.21
G.W. (KGS.)
1.230
MEA. (M3.)
MATERIAL FOR AUTOMOTIVE
WIRING HARNESS
INVOICE NO. TTPM00031B
672.93
N.W. (KGS.)
715.52
G.W. (KGS.)
1.630
MEA. (M3.)","RAW MATERIAL FOR AUTOMOTIVE -
WIRING HARNESS",RAW MATERIAL FOR WIRING HARNESS
BKKAE1302900,TH106661,LAEM CHABANG (THAILAND),LAEM CHABANG,US105969,"LONG BEACH, CA","LONG BEACH,U.S.A.",854449,"FREIGHT COLLECT
YAZAKI B/L NO.3
BKK.NO.BKKAE1302900
CY: 29.07.2020

MATERIAL FOR AUTOMOTIVE WIRING HARNESS (1)HS.NO.85444929
INV.NO.TWAX00021B = 2 PACKAGES. G.W. 968.70 KGS.N.W. 924.70 KGS. = 1.69 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999,85472000
INV.NO.TIAX00158B = 1 PACKAGE(22 CARTONS). G.W. 77.93 KGS.N.W. 48.63 KGS. =
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999,85472000
INV.NO.TIAX00159B = 6 CARTONS. G.W. 52.68 KGS.N.W. 43.96 KGS. = 0.23 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999,40969999
INV.NO.TIAX00160B = 1 PACKAGES(44 CARTONS). G.W. 73.88 KGS.N.W. 33.48 KGS. = 1.59 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.85369099,85472000
INV.NO.TIAX00161B = 5 CARTONS. G.W. 60.42 KGS.N.W. 50.06 KGS. = 0.38 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999
INV.NO.TIAX00162B = 1 PACKAGES(19 CARTONS). G.W. 38.05 KGS.N.W. 9.00 KGS. = 1.33 M3","YAZAKI B/L NO.3
BKK.NO.BKKAE1302900
CY: 29.07.2020
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (1
INV.NO.TWAX00021B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00158B = . . .. .
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00159B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00160B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00161B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00162B = . G.W. .N.W.
.","RAW MATERIAL FOR AUTOMOTIVE
WIRING HARNESS",RAW MATERIAL FOR AUTOMOTIVE WIRING HARNESS
BKKAE1302900,TH106661,LAEM CHABANG (THAILAND),LAEM CHABANG,US105969,"LONG BEACH, CA","LONG BEACH,U.S.A.",854449,"FREIGHT COLLECT
YAZAKI B/L NO.3
BKK.NO.BKKAE1302900
CY: 29.07.2020

MATERIAL FOR AUTOMOTIVE WIRING HARNESS (1)HS.NO.85444929
INV.NO.TWAX00021B = 2 PACKAGES. G.W. 968.70 KGS.N.W. 924.70 KGS. = 1.69 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999,85472000
INV.NO.TIAX00158B = 1 PACKAGE(22 CARTONS). G.W. 77.93 KGS.N.W. 48.63 KGS. =
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999,85472000
INV.NO.TIAX00159B = 6 CARTONS. G.W. 52.68 KGS.N.W. 43.96 KGS. = 0.23 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999,40969999
INV.NO.TIAX00160B = 1 PACKAGES(44 CARTONS). G.W. 73.88 KGS.N.W. 33.48 KGS. = 1.59 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.85369099,85472000
INV.NO.TIAX00161B = 5 CARTONS. G.W. 60.42 KGS.N.W. 50.06 KGS. = 0.38 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999
INV.NO.TIAX00162B = 1 PACKAGES(19 CARTONS). G.W. 38.05 KGS.N.W. 9.00 KGS. = 1.33 M3","YAZAKI B/L NO.3
BKK.NO.BKKAE1302900
CY: 29.07.2020
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (1
INV.NO.TWAX00021B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00158B = . . .. .
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00159B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00160B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00161B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00162B = . G.W. .N.W.
.","RAW MATERIAL FOR AUTOMOTIVE
WIRING HARNESS",RAW MATERIAL FOR AUTOMOTIVE WIRING HARNESS
BKKAE1302900,TH106661,LAEM CHABANG (THAILAND),LAEM CHABANG,US105969,"LONG BEACH, CA","LONG BEACH,U.S.A.",854449,"FREIGHT COLLECT
YAZAKI B/L NO.3
BKK.NO.BKKAE1302900
CY: 29.07.2020

MATERIAL FOR AUTOMOTIVE WIRING HARNESS (1)HS.NO.85444929
INV.NO.TWAX00021B = 2 PACKAGES. G.W. 968.70 KGS.N.W. 924.70 KGS. = 1.69 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999,85472000
INV.NO.TIAX00158B = 1 PACKAGE(22 CARTONS). G.W. 77.93 KGS.N.W. 48.63 KGS. =
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999,85472000
INV.NO.TIAX00159B = 6 CARTONS. G.W. 52.68 KGS.N.W. 43.96 KGS. = 0.23 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999,40969999
INV.NO.TIAX00160B = 1 PACKAGES(44 CARTONS). G.W. 73.88 KGS.N.W. 33.48 KGS. = 1.59 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.85369099,85472000
INV.NO.TIAX00161B = 5 CARTONS. G.W. 60.42 KGS.N.W. 50.06 KGS. = 0.38 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999
INV.NO.TIAX00162B = 1 PACKAGES(19 CARTONS). G.W. 38.05 KGS.N.W. 9.00 KGS. = 1.33 M3","YAZAKI B/L NO.3
BKK.NO.BKKAE1302900
CY: 29.07.2020
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (1
INV.NO.TWAX00021B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00158B = . . .. .
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00159B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00160B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00161B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00162B = . G.W. .N.W.
.","RAW MATERIAL FOR AUTOMOTIVE
WIRING HARNESS",RAW MATERIAL FOR AUTOMOTIVE WIRING HARNESS
BKKAE1302900,TH106661,LAEM CHABANG (THAILAND),LAEM CHABANG,US105969,"LONG BEACH, CA","LONG BEACH,U.S.A.",854449,"FREIGHT COLLECT
YAZAKI B/L NO.3
BKK.NO.BKKAE1302900
CY: 29.07.2020

MATERIAL FOR AUTOMOTIVE WIRING HARNESS (1)HS.NO.85444929
INV.NO.TWAX00021B = 2 PACKAGES. G.W. 968.70 KGS.N.W. 924.70 KGS. = 1.69 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999,85472000
INV.NO.TIAX00158B = 1 PACKAGE(22 CARTONS). G.W. 77.93 KGS.N.W. 48.63 KGS. =
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999,85472000
INV.NO.TIAX00159B = 6 CARTONS. G.W. 52.68 KGS.N.W. 43.96 KGS. = 0.23 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999,40969999
INV.NO.TIAX00160B = 1 PACKAGES(44 CARTONS). G.W. 73.88 KGS.N.W. 33.48 KGS. = 1.59 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.85369099,85472000
INV.NO.TIAX00161B = 5 CARTONS. G.W. 60.42 KGS.N.W. 50.06 KGS. = 0.38 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999
INV.NO.TIAX00162B = 1 PACKAGES(19 CARTONS). G.W. 38.05 KGS.N.W. 9.00 KGS. = 1.33 M3","YAZAKI B/L NO.3
BKK.NO.BKKAE1302900
CY: 29.07.2020
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (1
INV.NO.TWAX00021B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00158B = . . .. .
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00159B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00160B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00161B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00162B = . G.W. .N.W.
.","RAW MATERIAL FOR AUTOMOTIVE
WIRING HARNESS",RAW MATERIAL FOR AUTOMOTIVE WIRING HARNESS
BKKAE1302900,TH106661,LAEM CHABANG (THAILAND),LAEM CHABANG,US105969,"LONG BEACH, CA","LONG BEACH,U.S.A.",854449,"FREIGHT COLLECT
YAZAKI B/L NO.3
BKK.NO.BKKAE1302900
CY: 29.07.2020

MATERIAL FOR AUTOMOTIVE WIRING HARNESS (1)HS.NO.85444929
INV.NO.TWAX00021B = 2 PACKAGES. G.W. 968.70 KGS.N.W. 924.70 KGS. = 1.69 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999,85472000
INV.NO.TIAX00158B = 1 PACKAGE(22 CARTONS). G.W. 77.93 KGS.N.W. 48.63 KGS. =
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999,85472000
INV.NO.TIAX00159B = 6 CARTONS. G.W. 52.68 KGS.N.W. 43.96 KGS. = 0.23 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999,40969999
INV.NO.TIAX00160B = 1 PACKAGES(44 CARTONS). G.W. 73.88 KGS.N.W. 33.48 KGS. = 1.59 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.85369099,85472000
INV.NO.TIAX00161B = 5 CARTONS. G.W. 60.42 KGS.N.W. 50.06 KGS. = 0.38 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999
INV.NO.TIAX00162B = 1 PACKAGES(19 CARTONS). G.W. 38.05 KGS.N.W. 9.00 KGS. = 1.33 M3","YAZAKI B/L NO.3
BKK.NO.BKKAE1302900
CY: 29.07.2020
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (1
INV.NO.TWAX00021B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00158B = . . .. .
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00159B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00160B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00161B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00162B = . G.W. .N.W.
.","RAW MATERIAL FOR AUTOMOTIVE
WIRING HARNESS",RAW MATERIAL FOR AUTOMOTIVE WIRING HARNESS
BKKAE1302900,TH106661,LAEM CHABANG (THAILAND),LAEM CHABANG,US105969,"LONG BEACH, CA","LONG BEACH,U.S.A.",854449,"FREIGHT COLLECT
YAZAKI B/L NO.3
BKK.NO.BKKAE1302900
CY: 29.07.2020

MATERIAL FOR AUTOMOTIVE WIRING HARNESS (1)HS.NO.85444929
INV.NO.TWAX00021B = 2 PACKAGES. G.W. 968.70 KGS.N.W. 924.70 KGS. = 1.69 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999,85472000
INV.NO.TIAX00158B = 1 PACKAGE(22 CARTONS). G.W. 77.93 KGS.N.W. 48.63 KGS. =
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999,85472000
INV.NO.TIAX00159B = 6 CARTONS. G.W. 52.68 KGS.N.W. 43.96 KGS. = 0.23 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999,40969999
INV.NO.TIAX00160B = 1 PACKAGES(44 CARTONS). G.W. 73.88 KGS.N.W. 33.48 KGS. = 1.59 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.85369099,85472000
INV.NO.TIAX00161B = 5 CARTONS. G.W. 60.42 KGS.N.W. 50.06 KGS. = 0.38 M3
MATERIAL FOR AUTOMOTIVE WIRING HARNESS (3)HS.NO.40169999
INV.NO.TIAX00162B = 1 PACKAGES(19 CARTONS). G.W. 38.05 KGS.N.W. 9.00 KGS. = 1.33 M3","YAZAKI B/L NO.3
BKK.NO.BKKAE1302900
CY: 29.07.2020
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (1
INV.NO.TWAX00021B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00158B = . . .. .
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00159B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00160B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00161B = . G.W. .N.W.
.
MATERIAL FOR AUTOMOTIVE WIRING
HARNESS (3
INV.NO.TIAX00162B = . G.W. .N.W.
.","RAW MATERIAL FOR AUTOMOTIVE
WIRING HARNESS",RAW MATERIAL FOR AUTOMOTIVE WIRING HARNESS
